Modismo;Definición Sonar;Definiciones Reales;Acorde;;
bache;Carencia de conocimientos esenciales o básicos en la formación intelectual de una persona.;Carencia de información sobre un tema. | Ausencia de conocimientos básicos en una persona.;1;;
guarruz;Bebida espesa y tradicional preparada con arroz fermentado que se consume en algunas regiones de Colombia.;Sedimento del grano en la chicha o el masato. | Bebida fermentada a base de arroz y endulzada con azúcar. | bebida un tanto espesa y fermentada que se prepara con agua, azúcar y arroz | sedimento constituido por los granos del maíz en la chicha | sedimento del masato de arroz;1;;
cañabrava;Temblar intensamente de miedo, como caña brava en chorro.;planta gramínea de hasta seis metros. de altura, de climas cálidos y medios, usada para cercas rústicas, confección de sombreros, etc | Planta herbácea que alcanza los 5 m de altura, de tallo grueso y hojas lineales y largas, que se usa principalmente en la elaboración de artesanías como sombreros y bolsos.;0;;
trastornar;Alterar el orden o funcionamiento normal de algo o alguien.;Desaparecer de la vista de alguien por causa de la lejanía con respecto al punto de partida.;0;;
chunchullo;Parte del intestino delgado de vacuno, porcino o ovino consumida como alimento, generalmente preparada asada o frita.;Plato elaborado con una parte del intestino delgado de la res, el cerdo o el cordero, que se come frita o asada. | parte del intestino de animales vacunos, porcinos y ovinos que se fríe para comer;1;;
encarpetar;Archivar o dejar un expediente o trámite sin avance ni resolución, impidiendo su continuación.;Archivar sin el trámite debido y de manera subrepticia y fraudulenta una solicitud o expediente para evitar su curso o resolución.;1;;
verga;Expresión vulgar que designa el órgano reproductor masculino.;Persona, situación o cosa extraordinaria. | No importarle nada.;0;;
candirú;Pez de agua dulce, de hasta 10 cm de longitud, alargado, transparente, prácticamente indetectable en el agua, con púas en las agallas.;Pez parásito de agua dulce, de hasta 10 cm de longitud, de cuerpo alargado y translúcido, casi indetectable en el agua y con púas en las agallas.;1;;
birria;Afición excesiva a algún juego, pasatiempo o deporte.;Afición incontrolable por un juego, deporte o pasatiempo. | adicción al juego;1;;
sacudón;Sacudida rápida y brusca.;Movimiento brusco que agita un cuerpo de un lado a otro rápidamente.;1;;
casera;Comida casera empacada y preparada para vender.;señora de la casa;0;;
violento;Persona o situación caracterizada por la propensión a la agresión física o verbal intensa, que provoca daño, miedo o desordén en el entorno.;Referido a algo, muy bueno.;0;;
riberino;No se reconoce 'riberino' como modismo o expresión idiomática colombiana.;Referido a zonas de los rios y ciénagas u otros cuerpos de agua, que se caracteriza por tener especies de animales y vegetación adaptadas a un medio muy húmedo. | Referido a la zona de un embalse, donde ingresa el río.;0;;
múcura;Cántaro de barro utilizado para conservar agua en Colombia.;Vasija de barro de boca angosta que se usa para transportar agua y conservarla fresca.;1;;
formato;Estar completamente desnudo.;Impreso con espacios en blanco que deben rellenarse según los datos requeridos.;0;;
estilógrafo;Instrumento de escritura similar a una pluma estilográfica, utilizado para trazar con tinta mediante una punta fina.;Instrumento de escritura o dibujo, provisto de un depósito de tinta y una plumilla. | pluma fuente;1;;
carrasposo;Áspero al tacto, basto o rugoso.;Referido a una cosa, que tiene una textura áspera. | áspero al tacto;1;;
súpito;Estado de asombro, aturdimiento o perplejidad súbita que deja a una persona desconcertada.;Referido a una persona, perpleja o atónita por una sorpresa.;1;;
horcón;Madero grueso y vertical que se clava o instala como soporte estructural en construcciones rústicas o como botalón de amarre en labores agrícolas y ganaderas.;madero hincado en el suelo que sirve para sostener algo;1;;
yerbazo;Pócima o brebaje, generalmente atribuido a curanderos, considerado perjudicial o nocivo para la salud.;pócima perjudicial para la salud que a veces dan los yerbateros;1;;
guayuco;Prenda indígena tradicional, generalmente un taparrabos o paño triangular usado para cubrir la zona íntima.;Trozo de tela o piel de animales, que usan los indígenas para taparse los genitales. | prenda de vestir que cubre los genitales, usado por algunos indígenas;1;;
aturugarse;Quedarse paralizado o atontado por sorpresa, susto o vergüenza, sin saber cómo reaccionar.;Llenarse o atiborrarse alguien o algo. | atiborrarse o hartarse de algo;0;;
arepiar;Hacer arepas.;practicar actos lesbianos | dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz;0;;
castaña;Borrachera o estado de embriaguez.;Árbol no maderable de hasta 50 m de altura, tronco robusto, hoja alterna y oblonga, flores de color amarillo verdusco, y semilla comestible. | Fruto de este árbol, de hasta 15 cm de diámetro, de forma redonda, cáscara leñosa muy gruesa de color café y con múltiples semillas en su interior en forma de media luna y comestibles. | Semilla del fruto de la castaña, que mide entre 5 y 11 cm de diámetro, en forma de media luna, de consistencia similar a una almendra, aceitosa y comestible.;0;;
nivel;Equivalente a la calidad o competencia de alguien o algo, indicando que está bien logrado o a la altura.;Planta de un edificio, especialmente de un centro comercial.;0;;
al que es maletero viejo no le falta qué cargar;Persona con costumbre de aprovechar o encargarse de asuntos ajenos frecuentemente recibe siempre nuevas cargas u oportunidades para beneficiarse o responsabilizarse.;proverbio con el que se expresa que la persona de experiencia siempre tiene ocupación;0;;
ahorita;En Colombia, adverbio diminutivo de 'ahora' que indica un tiempo impreciso entre el presente y un futuro cercano.;En un momento, no de inmediato. | Hace un momento, hace un rato. | En este mismo momento o en este periodo de tiempo.;1;;
chamba;Empleo temporal o informal.;zanja o vallado | herida o cortadura profunda en la cabeza o en la cara | empleo, trabajo | Herida profunda en la cabeza o en la cara. | Zanja que sirve para delimitar las propiedades en el campo. | Árbol que alcanza los 10 m de altura, de corteza blancuzca, de hojas opuestas, flores de color crema y bayas que se tornan amarillas al madurar. | Baya achatada, de color verde a amarillo, de pulpa crema y sabor ácido, usado para preparar jugos, sabajón, dulces.;1;;
alcayata;Gancho o clavo con cabeza acodillada usado para colgar objetos, especialmente las hamacas.;repisa donde se coloca la vela | repisa para sostener matas del jardín | cada uno de los cuatro soportes para apoyar las andas en que van los pasos al parar las procesiones | Gancho metálico que se fija en la pared y del cual se amarra cada uno de los lazos de la hamaca. | cada uno de los dos ganchos metálicos de los que se amarran los lazos para colgar una hamaca;1;;
alcahueta;Persona permisiva que consiente o encubre las acciones indebidas de otra.;Persona permisiva, que consiente o mima exageradamente a otra.;1;;
capital;"Persona o cosa de gran importancia o valor dentro de un grupo o situación; también usado coloquialmente para referirse al dinero necesario para iniciar o sostener una actividad económica.";Dinero que llega al país, permanece por un corto tiempo y luego sale.;1;;
falencia;Carencia o privación de algo.;Privación de algo. | Falta, imperfección o error en el funcionamiento de un dispositivo, un proceso o una organización.;1;;
buziraco;Demonio o dios indígena de forma cambiante, representado como macho cabrío, adorado por indígenas y cimarrones en el cerro de La Popa en Cartagena y asociado a leyendas en Cali.;El diablo.;0;;
hijuemadre;Expresión colombiana de exclamación que denota sorpresa, admiración, enfado o susto.;Persona detestable, que actúa con maldad. | Se usa para expresar admiración, sorpresa, desagrado y miedo.;1;;
muñeco;Término coloquial usado en Colombia para aludir de forma vulgar a una persona fallecida, especialmente un cadáver encontrado o víctima de violencia.;cadáver | Cuerpo de una persona muerta. | Árbol de hasta 15 m de altura, de hojas ovoides alargadas, inflorescencia múltiple blanca y fruto rojo y redondeado de pulpa jugosa dulce, cuya madera tiene uso ornamental.;1;;
manosear;Maltratar moralmente a alguien.;ejercer acciones que afectan el prestigio o la imagen de una persona;1;;
chisga;Presentación musical informal y pagada en eventos sociales, restaurantes o bares, a menudo con canciones de otros artistas.;Compra que se hace por un valor menor al del mercado regular. | ganga;0;;
colectivo;Transporte público compartido como buses o camionetas para múltiples pasajeros.;Bus pequeño destinado al servicio público del transporte de pasajeros.;1;;
guagua;Niño o bebé.;Piedra pequeña que se usa contra otra más grande para moler el grano. | Roedor de hasta 50 cm de longitud, pelaje espeso y liso de color café, con hileras de manchas blancas en el lomo, cola y patas cortas, hocico alargado y orejas pequeñas y redondas. | Niño de pecho. | niño pequeño;1;;
güire;Pato migratorio de pico rosado, denominado también güiro por los llaneros colombianos.;Variedad de pato americano de hasta 48 cm de longitud, de color café oscuro rojizo en la corona y detrás del cuello, frente y lados de la cabeza grises, lomo y pecho superior café y pico rosado.;1;;
ahijuelita;Interjección coloquial usada en Colombia para expresar sorpresa, disgusto o impresión repentina.;expresión que manifiesta sorpresa o desagrado o cualquier impresión repentina;1;;
aparatiado;Persona excesivamente engreída, presumida o que se da mucha importancia.;Referido a una persona, que porta un arma de fuego.;0;;
cacique;Persona con gran influencia o poder local, especialmente en la política o en una comunidad, que suele ejercerlo de forma autoritaria o clientelista.;Ave de 27 a 30 cm de largo, de pico negro cónico y agudo, y ojos blancos amarillento, plumaje negro con abdomen rojo brillante, propia del Valle de Aburrá y de los municipios cercanos del oriente antioqueño.;0;;
sopladera;Utensilio plano y ligero, generalmente de fibras vegetales, empleado para avivar el fuego o alejar humo en fogones y braseros.;Utensilio hecho con una pequeña estera de fibras vegetales de diversas formas, liviano y flexible, con mango o sin él y que se usa para avivar el fuego especialmente en el fogón de una estufa.;1;;
uiste;Interjección coloquial usada en Colombia para expresar desaprobación, sorpresa o para reprender a alguien por una acción considerada imprudente o indebida.;voz que se emplea para espantar animales como caballos, asnos y vacas;0;;
cují;Persona tacaña o avara.;tacaño | el que apuesta sin tener dinero | Referido a una persona, tacaña. | Árbol que alcanza los 20 m, de hojas compuestas, flores amarillas verdosas y frutos en vainas, la planta en sí tiene uso medicinal, industrial y comestible.;1;;
